"id","climateId","availableNitrogen","pctSand","soilDepth"
1,209,45,28.1,92.8099975585938
2,209,46,28.1,65.5400009155273
3,209,46,28.1,92.8099975585938
4,210,45,28.1,92.8099975585938
5,210,46,28.1,92.8099975585938
6,210,47,28.1,92.8099975585938
7,296,45,28.1,92.8099975585938
8,296,46,28.1,65.5400009155273
9,296,46,28.1,92.8099975585938
10,296,47,28.1,65.5400009155273
11,296,47,28.1,92.8099975585938
12,296,48,28.1,92.8099975585938
13,297,45,28.1,92.8099975585938
14,297,46,28.1,92.8099975585938
15,297,46,33.6,60.7700004577637
16,297,47,28.1,92.8099975585938
17,297,47,33.6,60.7700004577637
18,297,48,28.1,92.8099975585938
19,297,48,33.6,60.7700004577637
20,298,46,28.1,92.8099975585938
21,298,46,33.6,60.7700004577637
22,299,45,28.1,92.8099975585938
23,299,45,33.6,60.7700004577637
24,299,46,28.1,92.8099975585938
25,380,45,28.1,65.5400009155273
26,380,46,28.1,65.5400009155273
27,380,46,31.7,28.5200004577637
28,380,46,35.6,116.580001831055
29,380,47,28.1,65.5400009155273
30,380,47,31.7,28.5200004577637
31,381,45,28.1,65.5400009155273
32,381,46,28.1,65.5400009155273
33,381,46,28.1,92.8099975585938
34,381,46,31.7,28.5200004577637
35,381,47,28.1,92.8099975585938
36,381,47,31.7,28.5200004577637
37,381,48,28.1,92.8099975585938
38,381,48,31.7,28.5200004577637
39,381,49,28.1,92.8099975585938
40,381,49,31.7,28.5200004577637
41,381,50,31.7,28.5200004577637
42,382,46,28.1,65.5400009155273
43,382,46,28.1,92.8099975585938
44,382,47,28.1,92.8099975585938
45,382,48,28.1,92.8099975585938
46,382,49,28.1,92.8099975585938
47,382,49,31.7,28.5200004577637
48,382,50,28.1,92.8099975585938
49,382,50,31.7,28.5200004577637
50,382,51,28.1,92.8099975585938
51,382,51,31.7,28.5200004577637
52,382,52,28.1,92.8099975585938
53,382,53,28.1,92.8099975585938
54,383,45,28.1,92.8099975585938
55,383,46,28.1,92.8099975585938
56,383,46,33.6,60.7700004577637
57,383,47,28.1,92.8099975585938
58,383,47,33.6,60.7700004577637
59,383,48,28.1,92.8099975585938
60,383,48,33.6,60.7700004577637
61,383,49,28.1,92.8099975585938
62,383,49,33.6,60.7700004577637
63,383,50,28.1,92.8099975585938
64,383,50,33.6,60.7700004577637
65,383,51,28.1,92.8099975585938
66,383,52,28.1,92.8099975585938
67,383,53,28.1,92.8099975585938
68,384,46,28.1,92.8099975585938
69,384,46,33.6,60.7700004577637
70,384,47,28.1,92.8099975585938
71,384,47,33.6,60.7700004577637
72,384,48,28.1,92.8099975585938
73,384,48,33.6,60.7700004577637
74,385,45,29.1,52.9000015258789
75,385,46,28.1,92.8099975585938
76,385,46,29.1,52.9000015258789
77,385,47,28.1,92.8099975585938
78,386,45,28.1,92.8099975585938
79,386,45,33.6,60.7700004577637
80,386,46,28.1,92.8099975585938
81,467,46,31.7,28.5200004577637
82,467,46,35.6,116.580001831055
83,468,46,31.7,28.5200004577637
84,468,46,53.2,26.7199993133545
85,468,47,31.7,28.5200004577637
86,468,47,53.2,26.7199993133545
87,468,48,31.7,28.5200004577637
88,468,48,53.2,26.7199993133545
89,468,49,31.7,28.5200004577637
90,468,49,53.2,26.7199993133545
91,469,48,28.1,92.8099975585938
92,469,48,31.7,28.5200004577637
93,469,48,53.2,26.7199993133545
94,469,49,28.1,92.8099975585938
95,469,49,31.7,28.5200004577637
96,469,49,53.2,26.7199993133545
97,469,50,28.1,92.8099975585938
98,469,50,31.7,28.5200004577637
99,469,51,28.1,92.8099975585938
100,469,51,31.7,28.5200004577637
101,469,52,28.1,92.8099975585938
102,469,53,28.1,92.8099975585938
103,470,47,28.1,92.8099975585938
104,470,47,33.6,60.7700004577637
105,470,48,28.1,92.8099975585938
106,470,48,33.6,60.7700004577637
107,470,49,28.1,92.8099975585938
108,470,49,33.6,60.7700004577637
109,470,50,28.1,92.8099975585938
110,470,50,33.6,60.7700004577637
111,470,51,28.1,92.8099975585938
112,470,52,28.1,92.8099975585938
113,470,53,28.1,92.8099975585938
114,471,45,28.1,92.8099975585938
115,471,45,29.1,52.9000015258789
116,471,46,28.1,92.8099975585938
117,471,46,29.1,52.9000015258789
118,471,47,28.1,92.8099975585938
119,471,47,33.6,60.7700004577637
120,471,48,28.1,92.8099975585938
121,471,49,28.1,92.8099975585938
122,472,44,29.1,52.9000015258789
123,472,45,28.1,92.8099975585938
124,472,45,29.1,52.9000015258789
125,472,46,28.1,92.8099975585938
126,472,46,29.1,52.9000015258789
127,472,47,28.1,92.8099975585938
128,555,47,53.2,26.7199993133545
129,555,48,53.2,26.7199993133545
130,555,49,35.6,116.580001831055
131,555,49,53.2,26.7199993133545
132,555,50,53.2,26.7199993133545
133,556,47,31.7,28.5200004577637
134,556,47,53.2,26.7199993133545
135,556,48,28.1,92.8099975585938
136,556,48,31.7,28.5200004577637
137,556,48,53.2,26.7199993133545
138,556,49,31.7,28.5200004577637
139,556,49,53.2,26.7199993133545
140,556,50,53.2,26.7199993133545
141,557,46,28.1,92.8099975585938
142,557,46,31.7,28.5200004577637
143,557,47,28.1,92.8099975585938
144,557,47,31.7,28.5200004577637
145,557,48,28.1,92.8099975585938
146,557,48,31.7,28.5200004577637
147,557,49,28.1,92.8099975585938
148,557,49,31.7,28.5200004577637
149,558,45,28.1,92.8099975585938
150,558,46,28.1,92.8099975585938
151,558,46,29.1,52.9000015258789
152,558,47,28.1,92.8099975585938
153,558,47,29.1,52.9000015258789
154,558,48,28.1,92.8099975585938
155,558,48,29.1,52.9000015258789
156,558,49,28.1,92.8099975585938
157,558,49,29.1,52.9000015258789
158,558,50,28.1,92.8099975585938
159,558,50,29.1,52.9000015258789
160,558,51,28.1,92.8099975585938
161,558,52,28.1,92.8099975585938
162,559,49,29.1,52.9000015258789
163,559,50,29.1,52.9000015258789
164,562,43,29.1,52.9000015258789
165,562,43,41.7,45.7200012207031
166,642,47,53.2,26.7199993133545
167,642,48,53.2,26.7199993133545
168,642,49,53.2,26.7199993133545
169,643,45,53.2,26.7199993133545
170,643,46,31.7,28.5200004577637
171,643,46,53.2,26.7199993133545
172,643,47,31.7,28.5200004577637
173,643,47,53.2,26.7199993133545
174,643,48,31.7,28.5200004577637
175,643,48,53.2,26.7199993133545
176,643,49,53.2,26.7199993133545
177,643,50,53.2,26.7199993133545
178,644,42,31.7,28.5200004577637
179,644,43,31.7,28.5200004577637
180,644,43,53.2,26.7199993133545
181,644,44,31.7,28.5200004577637
182,644,44,53.2,26.7199993133545
183,644,45,31.7,28.5200004577637
184,644,45,53.2,26.7199993133545
185,644,46,31.7,28.5200004577637
186,644,46,53.2,26.7199993133545
187,644,47,31.7,28.5200004577637
188,644,48,31.7,28.5200004577637
189,644,49,31.7,28.5200004577637
190,645,44,31.7,28.5200004577637
191,645,45,31.7,28.5200004577637
192,645,46,31.7,28.5200004577637
193,645,47,31.7,28.5200004577637
194,645,48,31.7,28.5200004577637
195,645,49,28.1,92.8099975585938
196,645,49,31.7,28.5200004577637
197,645,50,28.1,92.8099975585938
198,645,50,31.7,28.5200004577637
199,645,51,28.1,92.8099975585938
200,645,51,29.1,52.9000015258789
201,645,51,31.7,28.5200004577637
202,645,52,28.1,92.8099975585938
203,645,52,31.7,28.5200004577637
204,645,53,28.1,92.8099975585938
205,645,53,31.7,28.5200004577637
206,645,54,28.1,92.8099975585938
207,646,50,28.1,92.8099975585938
208,646,50,29.1,52.9000015258789
209,646,51,28.1,92.8099975585938
210,646,51,29.1,52.9000015258789
211,646,52,28.1,92.8099975585938
212,646,52,29.1,52.9000015258789
213,646,53,28.1,92.8099975585938
214,647,47,29.1,52.9000015258789
215,647,47,41.7,45.7200012207031
216,647,48,29.1,52.9000015258789
217,647,48,40.9,56.7000007629395
218,647,48,41.7,45.7200012207031
219,647,49,29.1,52.9000015258789
220,647,49,40.9,56.7000007629395
221,647,49,41.7,45.7200012207031
222,647,50,29.1,52.9000015258789
223,647,50,40.9,56.7000007629395
224,647,51,29.1,52.9000015258789
225,647,51,40.9,56.7000007629395
226,647,52,28.1,92.8099975585938
227,647,52,29.1,52.9000015258789
228,647,53,28.1,92.8099975585938
229,647,53,29.1,52.9000015258789
230,648,43,41.7,45.7200012207031
231,648,44,40.9,56.7000007629395
232,648,44,41.7,45.7200012207031
233,648,45,29.1,52.9000015258789
234,648,45,40.9,56.7000007629395
235,648,45,41.7,45.7200012207031
236,648,46,40.9,56.7000007629395
237,648,46,41.7,45.7200012207031
238,648,47,40.9,56.7000007629395
239,648,47,41.7,45.7200012207031
240,648,48,40.9,56.7000007629395
241,648,48,41.7,45.7200012207031
242,649,43,29.1,52.9000015258789
243,649,43,41.7,45.7200012207031
244,649,44,41.7,45.7200012207031
245,649,45,41.7,45.7200012207031
246,649,46,41.7,45.7200012207031
247,649,47,41.7,45.7200012207031
248,649,48,41.7,45.7200012207031
249,730,45,53.2,26.7199993133545
250,730,46,53.2,26.7199993133545
251,730,47,53.2,26.7199993133545
252,731,42,31.7,28.5200004577637
253,731,42,53.2,26.7199993133545
254,731,43,31.7,28.5200004577637
255,731,43,53.2,26.7199993133545
256,731,44,53.2,26.7199993133545
257,731,45,53.2,26.7199993133545
258,731,46,53.2,26.7199993133545
259,731,47,53.2,26.7199993133545
260,731,48,53.2,26.7199993133545
261,732,43,31.7,28.5200004577637
262,732,44,31.7,28.5200004577637
263,732,45,31.7,28.5200004577637
264,732,45,53.2,26.7199993133545
265,732,46,31.7,28.5200004577637
266,732,46,53.2,26.7199993133545
267,732,47,28.1,92.8099975585938
268,732,47,31.7,28.5200004577637
269,732,47,53.2,26.7199993133545
270,732,48,28.1,92.8099975585938
271,732,48,31.7,28.5200004577637
272,732,49,28.1,92.8099975585938
273,732,49,31.7,28.5200004577637
274,732,50,28.1,92.8099975585938
275,732,50,31.7,28.5200004577637
276,732,51,28.1,92.8099975585938
277,733,50,28.1,92.8099975585938
278,733,51,28.1,92.8099975585938
279,733,52,28.1,92.8099975585938
280,733,53,28.1,92.8099975585938
281,733,54,28.1,92.8099975585938
282,734,48,40.9,56.7000007629395
283,734,49,40.9,56.7000007629395
284,734,50,40.9,56.7000007629395
285,734,50,41.7,45.7200012207031
